Field=#~Integer~#~50|Field=Fitted~String~Fitted~200|Field=Designator~String~Designator~204|Field=Quantity~Integer~Quantity~124|Field=Comment~String~Comment~134|Field=Footprint~String~Footprint~200|Field=Description~String~Description~212|Field=LibRef~String~LibRef~122|Field=Manufacturer~String~Manufacturer~226|Field=Manufacturer Part Number~String~Manufacturer Part Number~292|Field=Supplier 1~String~Supplier 1~200|Field=Supplier Part Number 1~String~Supplier Part Number 1~200|Field=Supplier Subtotal 1~Float~Supplier Subtotal 1~200|Field=Supplier Unit Price 1~Float~Supplier Unit Price 1~200|ReportField=Currency~USD|ReportField=ProductionQuantity~100|ReportField=ProjectFileName~EVB_r2-0.PrjPCB|ReportField=ProjectFullPath~C:\_IS\hdw\IS-hdw\altium\Projects\INS_AHRS\EVB_r2-0\EVB_r2-0.PrjPCB|ReportField=Title~BOM Purchase For Variant [IS-EVB-r2.0.0-G2-R] of Project [EVB_r2-0.PrjPCB] (PCB Document : EVB-2.PCBDOC)|ReportField=ReportTime~2:41:15 PM|ReportField=ReportDate~2/7/2019|ReportField=ReportDateTime~2/7/2019 2:41:15 PM|ReportField=OutputName~BOM Purchase|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~IS-EVB-r2.0.0-G2-R|ReportField=TotalQuantity~168|ReportField=TotalActualPrice~0|ReportField=TotalTargetPrice~0|ReportField=VersionControl_RevNumber~|ReportField=VersionControl_ProjFolderRevNumber~ebf4d22a39377da5df1895ddc3c8144777053c8f|ReportField=AddressLine1~72 North 720 East|ReportField=AddressLine2~Salem, UT 84653|ReportField=AddressLine3~801-380-0819|ReportField=AddressLine4~info@interialsense.com|ReportField=Company~Inertial Sense LLC|ReportField=PcbPartNumber~IS-EVB-r2.0|ReportField=PcbRevision~2.0|ReportField=ProjectTitle~Evaluation Board|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=ConfigurationParameters~|ReportField=ConfiguratorName~|ReportField=CurrentDate~2/7/2019|ReportField=CurrentTime~2:38:17 PM|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\_IS\hdw\IS-hdw\altium\Projects\INS_AHRS\EVB_r2-0\Source Files\Main.SchDoc|ReportField=DocumentName~Main.SchDoc|ReportField=DocumentNumber~1|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=IsUserConfigurable~|ReportField=ModifiedDate~2/7/2019|ReportField=Organization~|ReportField=ProjectName~EVB_r2-0.PrjPCB|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~1|ReportField=SheetTotal~11|ReportField=Time~|ReportField=Title~Main|ReportField=VersionControl_ProjFolderRevNumber~|ReportField=VersionControl_RevNumber~|ReportField=DataSourceFileName~EVB_r2-0.PrjPCB|ReportField=DataSourceFullPath~C:\_IS\hdw\IS-hdw\altium\Projects\INS_AHRS\EVB_r2-0\EVB_r2-0.PrjPCB|ReportField=PCBDataSourceFileName~EVB-2.PCBDOC|ReportField=PCBDataSourceFullPath~C:\_IS\hdw\IS-hdw\altium\Projects\INS_AHRS\EVB_r2-0\Source Files\EVB-2.PCBDOC|ReportField=PCBConfigurationName~Default Configuration|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
39|Fitted|R11|1|Res|R0603|RES SMD 120 OHM 5% 1/4W 0603|Res|Rohm|ESR03EZPJ121|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DRohm%26mpn%3DESR03EZPJ121%26seller%3DDigi-Key%26sku%3DRHM120DDKR-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}RHM120DDKR-ND{URL.TIP}Supplier|3.33|0.03
40|Fitted|R17, R18, R27|3|Res|R0402|RES SMD 0 OHM JUMPER 1/16W 0402|Res|Yageo|RC0402JR-070RL|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DYageo%26mpn%3DRC0402JR-070RL%26seller%3DDigi-Key%26sku%3D311-0.0JRDKR-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}311-0.0JRDKR-ND{URL.TIP}Supplier|1.31|0
41|Fitted|R21, R24, R33, R34|4|Res|R0402|RES 470 OHM 1/16W 1% 0402 SMD|Res|Vishay Dale|CRCW0402470RFKED|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DVishay%26mpn%3DCRCW0402470RFKED%26seller%3DDigi-Key%26sku%3D541-470LCT-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}541-470LCT-ND{URL.TIP}Supplier|7.12|0.02
42|Fitted|R22|1|Res|R0402|RES SMD 1M OHM 5% 1/10W 0402|Res|Panasonic|ERJ-2GEJ105X|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DPanasonic%26mpn%3DERJ-2GEJ105X%26seller%3DDigi-Key%26sku%3DP1.0MJDKR-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}P1.0MJDKR-ND{URL.TIP}Supplier|1.25|0.01
43|Fitted|R26, R53|2|Res|R0402|RES 1.00K OHM 1/16W 1% 0402 SMD|Res|Yageo|RC0402FR-071KL|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DYageo%26mpn%3DRC0402FR-071KL%26seller%3DDigi-Key%26sku%3D311-1.00KLRCT-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}311-1.00KLRCT-ND{URL.TIP}Supplier|1.34|0.01
44|Fitted|S1, S2, S3|3|SPST Switch|KMR432G|SWITCH TACTILE SPST-NO 0.05A 32V|Switch SPST|ITT C&K|KMR431GULCLFS|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DITT%2520C%2526K%26mpn%3DKMR431GULCLFS%26seller%3DDigi-Key%26sku%3DCKN11873CT-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}CKN11873CT-ND{URL.TIP}Supplier||
45|Fitted|U1_I, U1_M|2|TPD3E001|SOTFL50P160X60-5N|TVS DIODE 5.5V SOT5|TPD3E001|Texas Instruments|TPD3E001DRLR|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DTexas%2520Instruments%26mpn%3DTPD3E001DRLR%26seller%3DDigi-Key%26sku%3D296-21885-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}296-21885-1-ND{URL.TIP}Supplier|67.84|0.34
46|Fitted|U2|1|SN74LVC2G86DCUR|DCU0008A_N|IC GATE XOR 2CH 2-INP US8|SN74LVC2G86DCUR|Texas Instruments|SN74LVC2G86DCUR|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DTexas%2520Instruments%26mpn%3DSN74LVC2G86DCUR%26seller%3DDigi-Key%26sku%3D296-13275-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}296-13275-1-ND{URL.TIP}Supplier|34.9|0.35
47|Fitted|U3|1|ATSAME70-144|BGA144C80P12X12_1000X1000X140|IC MCU 32BIT 1MB FLASH 144LFBGA|ATSAME70-144|Microchip|ATSAME70Q20B-CNT|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMicrochip%26mpn%3DATSAME70Q20B-CNT%26seller%3DDigi-Key%26sku%3DATSAME70Q20B-CNTDKR-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}ATSAME70Q20B-CNTDKR-ND{URL.TIP}Supplier|1057.82|10.58
48|Fitted|U4, U7|2|TPS62135|PQFN50P200X300X100-14N|IC REG BUCK ADJ 3.5A 11VQFN|TPS62135|Texas Instruments|TPS62135RGXR|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DTexas%2520Instruments%26mpn%3DTPS62135RGXR%26seller%3DDigi-Key%26sku%3D296-47242-6-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}296-47242-6-ND{URL.TIP}Supplier|320.3|1.6
49|Fitted|U5|1|TCAN334|SOT23-8-65P280X145-8N|IC TXRX CAN 3.3V SOT23-8|TCAN334|Texas Instruments|TCAN334DCNR|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DTexas%2520Instruments%26mpn%3DTCAN334DCNR%26seller%3DDigi-Key%26sku%3D296-47830-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}296-47830-1-ND{URL.TIP}Supplier|187.8|1.88
50|Fitted|U6|1|SP330|TSOP65P640X120-24N|IC TXRX RS232/485 24TSSOP|SP330|Exar|SP330EEY-L|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMaxLinear%26mpn%3DSP330EEY-L%26seller%3DDigi-Key%26sku%3D1016-1977-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}1016-1977-ND{URL.TIP}Supplier|321.36|3.21
51|Fitted|U8|1|ATWINC3400|ATWILC3000|WIFI/BLE MODULE|ATWINC3400|Microchip|ATWINC3400-MR210UA122|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMicrochip%26mpn%3DATWINC3400-MR210UA122%26seller%3DDigi-Key%26sku%3DATWINC3400-MR210UA122-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}ATWINC3400-MR210UA122-ND{URL.TIP}Supplier|1067.32|10.67
52|Fitted|U9|1|uINS|UINS-3_1.27p_no_paste|Inertial Sense uINS-3 (DO NOT SOLDER REFLOW)|IS-uINS|Inertial Sense|IS-uINS-3.1-G2|Inertial Sense|{URL}{URL.TEXT}IS-uINS-3.1-G2{URL.TIP}Supplier||
53|Fitted|U10|1|Xbee SX|XBP9X-DMUS-001|XBEE PRO MOD TXRX ISM 915MHZ UFL|Xbee SX|Digi International|XBP9X-DMUS-001|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DDigi%2520International%26mpn%3DXBP9X-DMUS-001%26seller%3DDigi-Key%26sku%3D602-1890-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}602-1890-ND{URL.TIP}Supplier|8900.03|89
54|Fitted|V1|1|Var|R0402|VARISTOR 0402|Var|Bourns|CG0402MLC-12LG|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DBourns%26mpn%3DCG0402MLC-12LG%26seller%3DDigi-Key%26sku%3DCG0402MLC-12LGCT-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}CG0402MLC-12LGCT-ND{URL.TIP}Supplier|23.43|0.23
55|Fitted|Y1|1|Crystal|CRYMP2012X06L|CRYSTAL 32.7680KHZ 9PF SMD|Crystal|Abracon LLC|ABS06-32.768KHZ-9-1-T|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DAbracon%26mpn%3DABS06-32.768KHZ-9-1-T%26seller%3DDigi-Key%26sku%3D535-10247-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}535-10247-1-ND{URL.TIP}Supplier|60.61|0.61
56|Fitted|Y2|1|Oscillator2|ABM10_2.5_x_2.0|OSC XO 12.000MHZ HCMOS SMD|Oscillator2|ECS Inc.|ECS-2520S33-120-FN-TR|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DECS%2520International%26mpn%3DECS-2520S33-120-FN-TR%26seller%3DDigi-Key%26sku%3DXC2194TR-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}XC2194TR-ND{URL.TIP}Supplier|885|0.89
57|Fitted|Y3|1|Oscillator2|SiT1533|OSC MEMS 32.768KHZ LVCMOS SMD|Oscillator2|SiTime|SIT1533AI-H4-DCC-32.768E|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DSiTime%26mpn%3DSIT1533AI-H4-DCC-32.768E%26seller%3DDigi-Key%26sku%3D1473-1239-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}1473-1239-1-ND{URL.TIP}Supplier|88.52|0.89
58|Not Fitted|H5, H6|0|Hdr - 5x2pin|FTSH-105-01-L-DV-K-A-P|CONN HEADER 10POS DUAL .05" SMD|Hdr - 5x2pin|Samtec|FTSH-105-01-L-DV-K-A-P|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DSamtec%26mpn%3DFTSH-105-01-L-DV-K-A-P%26seller%3DDigi-Key%26sku%3DSAM9440-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}SAM9440-ND{URL.TIP}Supplier||
59|Not Fitted|R3|0|Res|R0603|RES SMD 0 OHM JUMPER 1/10W 0603|Res|Yageo|RC0603JR-070RL|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DVishay%26mpn%3DCRCW060310K0FKEA%26seller%3DDigi-Key%26sku%3D311-0.0GRDKR-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}311-0.0GRDKR-ND{URL.TIP}Supplier||
60|Not Fitted|R15, R16, R25, R37, R47|0|Res|R0402|RES SMD 0 OHM JUMPER 1/16W 0402|Res|Yageo|RC0402JR-070RL|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DYageo%26mpn%3DRC0402JR-070RL%26seller%3DDigi-Key%26sku%3D311-0.0JRDKR-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}311-0.0JRDKR-ND{URL.TIP}Supplier||
61|Not Fitted|U11|0|W25QxxxJV|SOIC127P790X216-8N|IC FLASH 128M SPI 133MHZ 8SOIC|W25Q128JV|Winbond|W25Q128JVSIQTR|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DWinbond%26mpn%3DW25Q128JVSIQTR%26seller%3DDigi-Key%26sku%3DW25Q128JVSIQCT-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}W25Q128JVSIQCT-ND{URL.TIP}Supplier||
62|Not Fitted|U12|0|MT29F|DFN800X600X65-8N|IC FLASH 1G/2G SPI 8UPDFN|MT29F|Micron Technology|MT29F2G01ABAGDWB-IT:GTR|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMicron%2520Technology%26mpn%3DMT29F2G01ABAGDWB-IT%253AGTR%26seller%3DDigi-Key%26sku%3D557-1664-6-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}557-1664-6-ND{URL.TIP}Supplier||
